model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),Operating System,graphics,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,is_gaming_laptop,is_regular_laptop
hp pavilion 14-ek0084tu laptop,hewlett packard,12th gen core i5,8,512,1000,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,10,12,60,71020,False,True
asus eeebook 14 e410ka-bv092w laptop,asus,celeron n4500,4,256,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,2,2,44,24500,False,True
hp 240 g8 689t7pa business laptop,hewlett packard,intel core i3,8,512,564,Windows,Intel Integrated,14.0,1366 x 768,2,4,50,34440,False,True
lenovo thinkpad e14 g3 20y700b5ig laptop,lenovo,ryzen 7 5700u,16,512,1000,Windows,AMD Raedon Graphics,14.0,1920 x 1080,8,16,68,74990,False,True
lenovo v14 82kaa057ih laptop,lenovo,11th gen core i3,8,256,564,Windows,Intel Integrated UHD,14.0,1920 x 1080,2,4,53,32499,False,True
lenovo ideapad slim 3 82h802xvin laptop,lenovo,11th gen core i3,8,256,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,48,37100,False,True
acer chromebook enterprise spin 513 r841lt-s6dj laptop,acer,snapdragon 7c,4,512,128,Chrome,Qualcomm Adreno 618,13.3,1920 x 1080,8,10,57,47990,False,True
lenovo thinkpad e14 gen 2 20tas08f00 laptop,lenovo,11th gen core i5,8,512,1000,Windows,Intel UHD,14.1,1920 x 1080,4,8,61,76890,False,True
dell inspiron 3520 d560878win9s laptop,dell,12th gen core i5,8,512,1000,Windows,Intel Integrated Integrated,15.6,1920 x 1080,10,12,57,64490,False,True
asus vivobook 14 oled ux3402za-kn731ws laptop,asus,12th gen core i7,16,512,1000,Windows,Intel Iris Xe,14.0,2880 x 1800,12,16,69,108990,False,True
lenovo ideapad slim 3 81wb01fyin laptop,lenovo,10th gen core i3,8,256,564,Windows,Intel Integrated,15.6,1920 x 1080,2,4,50,33990,False,True
dell inspiron 3525 d560863win9b laptop,dell,amd ryzen 5 5625u,8,512,1000,Windows,AMD Radeon Radeon,15.6,1920 x 1080,6,12,62,51490,False,True
lenovo thinkpad e14 gen 2 20tas0y800 laptop,lenovo,11th gen core i5,8,512,1000,DOS,Intel UHD,14.1,1920 x 1080,4,8,50,72990,False,True
asus tuf gaming f15 fx506lhb-hn358w gaming laptop,asus,10th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4,8,63,54990,True,False
msi stealth 17m a12ue gaming laptop,micro star international,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,17.29,1920 x 1080,14,20,73,149990,True,False
msi modern 15 a5m-055in laptop,micro star international,amd ryzen 5 5500u,8,512,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,6,12,57,57990,False,True
lenovo thinkpad e14 gen 2 20tas0e800 laptop,lenovo,11th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,1080 x 1920,4,8,67,77500,False,True
dell vostro 3420 d552278win9s laptop,dell,11th gen core i3,8,512,1000,Windows,Intel Integrated,14.0,1920 x 1080,2,4,57,47000,False,True
lenovo ‎thinkpad e14 gen 4 laptop,lenovo,12th gen core i5,8,512,1000,Windows,Intel Iris Xe,14.0,1920 x 1080,10,12,57,74500,False,True
dell alienware x17 r1 d569936win9 gaming laptop,dell,11th gen core i9,32,1000,1000,Windows,16 GB NVIDIA GEFORCE RTX 3080,17.29,1920 x 1080,8,16,79,312199,True,False
lenovo v15 82kba02uih laptop,lenovo,11th gen core i3,8,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,53,36990,False,True
lenovo thinkpad p15v 21d8s00v00 laptop,lenovo,12th gen core i7,32,1000,1000,Windows,4 GB Nvidia Quadro T1200,15.6,1920 x 1080,14,20,76,190400,False,True
microsoft surface laptop 5 ‎rbg-00048 13.5 inch,microsoft,12th gen core i7,8,256,1000,Windows,Intel Iris Xe,13.5,2256 x 1504,10,12,57,178999,False,True
microsoft surface pro 9 ‎qil-00031 laptop,microsoft,12th gen core i7,16,256,1000,Windows,Intel Iris Xe Graphics,13.0,2880 x 1920,10,12,56,167999,False,True
microsoft surface pro 9 ‎‎qix-00031 laptop,microsoft,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,13.0,2880 x 1920,10,12,54,192990,False,True
microsoft surface laptop 5 ‎rip-00048 15 inch,microsoft,12th gen core i7,16,512,1000,Windows,Intel Iris Xe,15.0,2496 x 1664,10,12,63,182990,False,True
dell inspiron 14 5415 laptop,dell,amd ryzen 5 5500u,8,512,1000,Windows,AMD Radeon AMD,14.0,1920 x 1080,6,12,61,55999,False,True
lenovo legion 5 pro 82rf00e1in gaming laptop,lenovo,12th gen core i7,32,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070Ti,16.0,2560 x 1600,14,20,91,218000,True,False
lenovo ideapad slim 3 81we01qsin laptop,lenovo,10th gen core i3,4,256,564,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,50,29990,False,True
acer aspire 3 a315-58 laptop,acer,11th gen core i5,12,512,1000,Windows,Intel Iris Xe,15.6,1920 x 1080,4,8,60,49312,False,True
asus e410 eeebook e410ka-bv003w laptop,asus,celeron n4500,4,256,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,2,2,45,24415,False,True
asus vivobook 15 2022 x1502za-ej515ws laptop,asus,12th gen core i5,8,512,1000,Windows,Intel Iris Xe,15.6,1920 x 1080,10,12,62,56990,False,True
lenovo thinkbook 14 20vd011eih laptop,lenovo,11th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,4,8,61,103600,False,True
acer swift 3 sf314-43 laptop,acer,amd ryzen 5 5500u,8,512,1000,Windows,AMD Radeon 5500U,14.0,1920 x 1080,6,12,65,61500,False,True
lenovo v15 g2-itl 82kba034ih laptop,lenovo,11th gen core i3,8,512,564,DOS,Intel Integrated UHD,15.6,1920 x 1080,2,4,47,34499,False,True
dell xps 9315 laptop,dell,12th gen core i7,16,1000,1000,Windows,Iris Xe,13.39,1920 x 1080,10,12,53,185800,False,True
dell inspiron 5415 laptop,dell,ryzen 7 5700u,16,512,1000,Windows,AMD Radeon AMD,14.0,1920 x 1080,8,16,62,89976,False,True
hp victus 16-e0550ax gaming laptop,hewlett packard,amd ryzen 7 5800h,8,512,1000,Windows,4 GB AMD Radeon RX 5500M Graphics,16.0,1920 x 1080,8,16,68,68990,True,False
asus vivobook 14 x415ma-bv102ws laptop,asus,pentium silver n5030,8,256,1000,Windows,Intel Integrated UHD,14.1,1366 x 768,4,4,49,27990,False,True
asus vivobook 15 2022 x515ja-ej592ws laptop,asus,10th gen core i5,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,4,8,59,44990,False,True
dell inspiron 3520 laptop,dell,12th gen core i5,8,512,1000,Windows,2 GB NVIDIA MX550,15.6,1920 x 1080,10,12,61,66111,False,True
dell g15-5520 d560895win9s laptop,dell,12th gen core i7,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,10,16,80,124400,False,True
acer one 14 z2-493 un.431si.129 laptop,acer,amd ryzen 3 3250u,8,512,1000,Windows,AMD Radeon Radeon Graphics,14.0,1366 x 768,2,4,51,39999,False,True
hp 15s-fq2670tu laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel Integrated,15.6,1920 x 1080,2,4,54,37490,False,True
asus vivobook 15 x515ja-ej392ws laptop,asus,10th gen core i3,8,512,564,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,56,34490,False,True
lenovo ideapad slim 3 82rk007jin laptop,lenovo,12th gen core i3,8,512,1000,Windows,‎Intel UHD Graphics,15.6,1920 x 1080,6,8,57,45500,False,True
acer chromebook 311 c733 laptop,acer,intel celeron n4020,4,192,32,Chrome,Intel HD,11.6,1366 x 768,2,2,46,18490,False,True
dell latitude 7420 laptop,dell,11th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,4,8,57,112500,False,True
hp probook 445 g7 laptop,hewlett packard,amd ryzen 5 4500u,8,512,1000,Windows,AMD Radeon,14.0,1920 x 1080,6,6,68,49999,False,True
lenovo v15 82c3002vge laptop,lenovo,celeron n4020,4,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,2,51,23999,False,True
dell vostro 3425 d552267win9s laptop,dell,amd ryzen 5 5625u,16,512,1000,Windows,AMD Radeon Graphics,14.0,1920 x 1080,6,12,63,60990,False,True
dell g15-5525 gaming laptop,dell,ryzen 9 6900hx,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,8,16,76,147100,True,False
dell g15-5525 d560894win9s gaming laptop,dell,ryzen 7 6800h,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,8,16,78,128200,True,False
dell g15-5525 d560898win9s gaming laptop,dell,ryzen 7 6800h,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3070 Ti,15.6,1920 x 1080,8,16,76,159200,True,False
dell g15-5521 d560899win9s gaming laptop,dell,12th gen core i9,16,1000,1000,Windows,8 GB NVIDIA GEFORCE RTX 3070 Ti,15.6,2560 x 1440,14,20,72,181799,True,False
dell inspiron 7620 laptop,dell,12th gen core i7,16,512,1000,Windows,2 GB NVIDIA GeForce MX550,14.5,2560 x 1440,12,16,62,126990,False,True
acer aspire 5 a515-57 gaming laptop,acer,12th gen core i3,8,512,564,Windows,Intel Integrated,15.6,1920 x 1080,6,8,54,47990,True,False
acer aspire 3 a315-58 nx.addsi.011 laptop,acer,11th gen core i3,8,512,1000,Windows,Intel Integrated UHD Graphics,15.6,1920 x 1080,2,4,51,37990,False,True
lenovo ideapad slim 5 82se005sin laptop,lenovo,amd ryzen 5 5625u,16,512,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,6,12,65,59990,False,True
asus tuf gaming a15 fa506ihrz-hn112w laptop,asus,amd ryzen 5 4600h,8,1000,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,6,12,68,65990,True,False
asus vivobook 14 oled x1405za-km511ws laptop,asus,12th gen core i5,16,512,1000,Windows,Intel Iris Xe,14.0,2880 x 1800,10,12,61,69990,False,True
lenovo thinkpad x1 carbon 21cb002jig laptop,lenovo,12th gen core i7,16,1000,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1200,10,12,59,211990,False,True
asus vivobook 14 oled x1405za-km311ws laptop,asus,12th gen core i3,8,512,1000,Windows,Intel Iris Xe,14.0,2880 x 1800,6,8,56,51990,False,True
dell alienware m15 r6 gaming laptop,dell,11th gen core i7,16,512,1000,Windows,6 GB NVIDIA Geforce RTX 3060,15.6,1920 x 1080,8,16,79,200000,True,False
lenovo ideapad gaming 3 82k101e1in laptop,lenovo,11th gen core i5,8,256,1000,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920 x 1080,4,8,62,54950,True,False
asus vivobook 15 oled x1505za-l1311ws laptop,asus,12th gen core i3,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,6,8,56,50500,False,True
asus rog strix g17 2022 g713rs-ll023ws gaming laptop,asus,amd ryzen 9 6900hx,16,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070 Ti,17.29,2560 x 1440,8,16,78,210990,True,False
lenovo v15 82c500xhih laptop,lenovo,10th gen core i5,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,4,8,53,47115,False,True
lenovo ideapad 3 15iau7 82rk0090in laptop,lenovo,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,15.6,2880 x 1800,10,12,60,63590,False,True
lenovo thinkpad l14 20x1cto laptop,lenovo,11th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,4,8,67,79500,False,True
agb octev vr-1818 gaming laptop,average graphics benchmark,11th gen core i7,32,1000,1000,Windows,2 GB NVIDIA Geforce MX450,15.6,1920 x 1080,4,8,66,70000,True,False
infinix inbook x2 plus xl25 laptop,infinix,11th gen core i3,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,4,47,38990,False,True
dell xps 13 plus laptop,dell,12th gen core i7,16,1000,1000,Windows,Intel Iris Xe Graphics,13.39,3840 x 2400,12,16,74,195190,False,True
lenovo ideapad slim 3 82rj005cin laptop,lenovo,12th gen core i5,8,512,1000,Windows,‎Intel Iris Xe Graphics,14.0,1920 x 1080,10,12,59,59990,False,True
asus e410ka-bv002w laptop,asus,celeron n4500,4,256,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,2,2,45,24485,False,True
msi creator pro z17 a12umst-237in gaming laptop,micro star international,12th gen core i7,32,1000,1000,Windows,16 GB NVIDIA GeForce RTX A5500,16.0,2560 x 1600,14,20,94,444990,True,False
lenovo ideapad flex 5 82r90068in laptop,lenovo,amd ryzen 7 5700u,16,512,1000,Windows,AMD Radeon,14.0,1920 x 1200,8,16,75,78990,False,True
dell xps 9315 laptop,dell,12th gen core i5,16,512,1000,Windows,Iris Xe,13.39,1920 x 1080,10,12,50,133500,False,True
asus vivobook s15 oled s3502za-l701ws laptop,asus,12th gen core i7,16,512,1000,Windows,Intel Iris XE Graphics,15.6,1920 x 1080,14,20,73,87500,False,True
acer aspire 3 un.hvtsi.012 laptop,acer,amd ryzen 3 3250u,8,256,564,Windows,AMD Radeon AMD,15.6,1920 x 1080,2,4,54,29990,False,True
msi creator z16p b12ukst-209in gaming laptop,micro star international,12th gen core i9,64,2000,1000,Windows,12 GB NVIDIA GeForce RTX A3000,17.29,2560 x 1600,14,20,91,395000,True,False
lenovo yoga 6 82ud0069in laptop,lenovo,amd ryzen 5 5500u,16,512,1000,Windows,AMD Radeon Graphics,13.3,1920 x 1080,6,12,69,78990,False,True
hp 14s-fq0567au laptop,hewlett packard,amd ryzen 3 3250u,8,256,1000,Windows,AMD Radeon AMD,14.0,1920 x 1080,2,4,47,36990,False,True
msi creator pro m16 a12ujs-601in gaming laptop,micro star international,12th gen core i7,32,1000,1000,Windows,8 GB NVIDIA GeForce RTX A2000,16.0,2560 x 1600,14,20,91,196990,True,False
hp omen 17-ck1023tx gaming laptop,hewlett packard,12th gen core i9,32,2000,1000,Windows,16 GB NVIDIA GeForce 3080Ti,16.1,2560 x 1440,16,24,85,299999,True,False
hp omen 16-n0051ax gaming laptop,hewlett packard,amd ryzen 9 6900hx,32,1000,1000,Windows,8 GB AMD Radeon RX 6650M Graphics,16.1,1920 x 1080,8,16,81,154990,True,False
lenovo thinkpad e14 21e3s04x00 laptop,lenovo,12th gen core i5,8,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,10,12,66,75000,False,True
hp omen 16-k0370tx gaming laptop,hewlett packard,12th gen core i7,16,1000,1000,Windows,8 GB NVIDIA GeForce 3070Ti,16.1,1920 x 1080,14,20,85,180880,True,False
chuwi gemibook pro laptop,chuwi,intel celeron n5100,8,256,1000,Windows,Intel UHD 600 Graphics,14.0,2160 x 1440,4,4,53,27489,False,True
hp omen 16-k0360tx laptop,hewlett packard,12th gen core i7,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.1,1920 x 1080,14,20,82,144480,False,True
lenovo thinkbook 15 21dja04lih laptop,lenovo,12th gen core i5,16,512,1000,Windows,Iris Xe Graphics,15.6,1920 x 1080,10,12,60,61990,False,True
lenovo ideapad gaming 3 82s900hnin laptop,lenovo,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,12,73,80990,True,False
hp omen 16-n0054ax gaming laptop,hewlett packard,amd ryzen 7 6800h,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.1,1920 x 1080,8,16,74,139680,True,False
lenovo ideapad flex 5 82r70068in laptop,lenovo,12th gen core i5,8,512,1000,Windows,Intel UHD,14.0,1920 x 1200,10,12,62,75990,False,True
hp victus 15-fb0082ax gaming laptop,hewlett packard,amd ryzen 5 5600h,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6,12,72,71990,True,False
dell xps 9315 laptop,dell,12th gen core i7,16,512,1000,Windows,Iris Xe,13.39,1920 x 1080,10,12,51,132470,False,True
hp omen 16-n0049ax gaming laptop,hewlett packard,amd ryzen 7 6800h,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050Ti,16.0,1920 x 1080,8,16,66,107690,True,False
hp omen 16-n0050ax gaming laptop,hewlett packard,amd ryzen 7 6800h,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,16.0,1920 x 1080,8,16,66,99800,True,False
lenovo v14 gen 2 itl 82kaa001ih laptop,lenovo,11th gen core i5,8,512,1000,DOS,Intel Integrated,14.0,1920 x 1080,4,8,53,49999,False,True
lenovo v15 82c30057ih laptop,lenovo,intel celeron n4020,4,256,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,2,2,48,29999,False,True
lenovo ideapad gaming 3 82k201v2in laptop,lenovo,amd ryzen 7 5800h,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,16,74,76990,True,False
lenovo thinkpad e14 21e3s04w00 laptop,lenovo,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,10,12,57,74490,False,True
lenovo thinkpad e14 gen 21e3s05800 laptop,lenovo,12th gen core i7,16,1000,1000,Windows,Intel Iris Xe Graphics,14.0,1920 x 1080,10,12,66,102490,False,True
lenovo yoga 9 82lu008tin laptop,lenovo,12th gen core i7,16,1000,1000,Windows,Intel Iris Xe Graphics,14.0,3840 x 2160,14,20,69,179990,False,True
dell vostro 3510 2022 laptop,dell,11th gen core i3,16,256,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,56,49850,False,True
acer one 14 z2-493 business laptop,acer,amd ryzen 5 3500u,16,512,1000,Windows,AMD Radeon Radeon Graphics,14.0,1366 x 768,4,8,59,39990,False,True
fujitsu uh-x 4zr1k06212 laptop,fujitsu,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,13.3,1920 x 1080,10,12,68,99990,False,True
hp envy x360 13-bf0062tu laptop,hewlett packard,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,13.3,2880 x 1800,10,12,68,104990,False,True
gigabyte g5 rc45md laptop,gigabyte,11th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,15.6,1920 x 1080,6,12,71,76600,False,True
gigabyte g5 rc45gd laptop,gigabyte,11th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,6,12,71,73990,False,True
gigabyte g5 rc45kd laptop,gigabyte,11th gen core i5,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,6,12,72,87800,False,True
msi katana gf66 11ue-249in gaming laptop,micro star international,11th gen core i7,16,512,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,1920 x 1080,8,16,74,115990,True,False
lenovo ideapad gaming 3 15iah7 82s900kqin laptop,lenovo,12th gen core i5,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920 x 1080,8,12,74,89990,True,False
lenovo ideapad gaming 3 15ihu6 82k101edin laptop,lenovo,11th gen core i5,8,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Graphics,15.6,1920 x 1080,4,8,68,69500,True,False
dell latitude 3520 laptop,dell,11th gen core i3,8,256,1000,Ubuntu,Intel UHD Graphics,15.6,1366 x 768,2,4,42,38700,False,True
honor magicbook x15 bohrbr-wah9f laptop,honor,10th gen core i5,8,256,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,4,8,57,67318,False,True
dell vostro 3510 2022 laptop,dell,11th gen core i3,8,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,51,46300,False,True
hp probook 450 g8 4y7g3pa laptop,hewlett packard,11th gen core i3,8,256,1000,Windows,Intel UHD Graphics,15.6,1366 x 768,2,4,61,48500,False,True
dell vostro 3510 2022 laptop,dell,11th gen core i3,16,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,57,53100,False,True
lenovo thinkbook 14 20vda0qtih laptop,lenovo,11th gen core i5,8,512,1000,DOS,Intel UHD Graphics,14.0,1920 x 1080,4,8,55,60100,False,True
dell vostro 3510 2022 laptop,dell,11th gen core i3,16,512,1000,Windows,Intel UHD Graphics,15.6,1920 x 1080,2,4,54,49800,False,True
dell latitude 3420 laptop,dell,11th gen core i3,16,512,1000,Ubuntu,Intel UHD Graphics,14.0,1366 x 768,2,4,55,69500,False,True
fujitsu uh-x 4zr1j37875 laptop,fujitsu,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,13.3,1920 x 1080,10,12,68,89990,False,True
dell latitude 3420 2022 laptop,dell,11th gen core i5,16,1000,1000,Windows,Intel UHD Graphics,14.0,1920 x 1080,4,8,68,102999,False,True
fujitsu uh-x 4zr1j37876 laptop,fujitsu,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,13.3,1920 x 1080,10,12,69,99990,False,True
acer travelmate tmb311-31 laptop,acer,intel pentium n5030,4,128,1000,Windows,UHD Graphics 600,11.6,1366 x 768,4,4,49,24990,False,True
lenovo ideapad flex 5 81x10087in laptop,lenovo,10th gen core i3,8,512,1000,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,2,4,65,66000,False,True
lenovo thinkpad e15 20tds0ta00 laptop,lenovo,11th gen core i5,8,512,1000,Windows,Intel Integrated UHD,15.6,1920 x 1080,4,8,60,71300,False,True
hp 250 g8 6x4b3pa laptop,hewlett packard,11th gen core i3,8,512,1000,Windows,Intel UHD,15.6,1366 x 768,2,4,45,36499,False,True
dell vostro 5320 laptop,dell,12th gen core i5,16,512,1000,Windows,Intel Integrated UMA,13.3,2560 x 1600,12,16,54,78990,False,True
hp elitebook 840 g8 4s1h5pa laptop,hewlett packard,11th gen core i5,8,512,1000,Windows,Intel Iris Xe,14.0,1920 x 1080,4,8,65,138800,False,True
hp pavilion x360 14-ek0072tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,10,12,67,71999,False,True
acer predator helios 300 ph315-55s spatial labs edition gaming laptop,acer,12th gen core i9,32,2000,1000,Windows,NVIDIA GeForce RTX 3030,15.6,3840 x 2160,14,20,84,319999,True,False
dell xps 13 plus laptop,dell,12th gen core i5,16,512,1000,Windows,Intel Iris Xe Graphics,13.39,3840 x 2400,12,16,69,171000,False,True
acer nitro 5 an515-46 laptop,acer,amd ryzen 5 6600h,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,2560 x 1440,6,12,76,98990,False,True
acer aspire 3 a315-23 laptop,acer,ryzen 5 3500u,8,512,1000,Windows,AMD Radeon AMD,15.6,1920 x 1080,4,8,56,51250,False,True
asus tuf f15 fa507re-hn043ws 2022 gaming laptop,asus,amd ryzen 7 6800h,16,512,1000,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,15.6,1920 x 1080,8,16,79,89990,True,False
msi gf63 thin 10sc-848in gaming laptop,micro star international,10th gen core i5,8,512,1000,Windows,4 GB NVIDIA Geforce GTX 1650,15.6,1920 x 1080,6,12,69,60700,True,False
acer aspire 5 a515-45-r1yc laptop,acer,amd ryzen 5 5500u,8,256,1000,Windows,AMD Radeon,15.6,1920 x 1080,6,12,59,44990,False,True
acer nitro 5 an515-46 gaming laptop,acer,amd ryzen 7 6800h,16,1000,1000,Windows,Missing,15.6,1920 x 1080,8,16,80,129990,True,False
lenovo legion 5 pro 82rg009ain laptop,lenovo,amd ryzen 7 6800h,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.0,2560 x 1600,8,16,76,159990,False,True
hp omen 16-c0136ax laptop,hewlett packard,amd ryzen 5 5600h,8,512,1000,Windows,4 GB NVIDIA GeForce GTX 1650,16.1,1920 x 1080,6,12,72,75299,False,True
hp envy x360 13-bf0058tu laptop,hewlett packard,12th gen core i5,16,512,1000,Windows,Intel Iris X Graphics,13.3,2880 x 1800,10,12,67,103000,False,True
hp omen 17-ck1022tx gaming laptop,hewlett packard,12th gen core i7,32,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070Ti,16.1,2560 x 1440,16,24,76,199999,True,False
honor magicbook 15 wdq9chne laptop,honor,amd ryzen 5 5500u,8,256,1000,Windows,AMD Radeon,15.6,1920 x 1080,6,12,51,39990,False,True
hp envy x360 16-h0028tx laptop,hewlett packard,12th gen core i7,16,512,1000,Windows,Intel Iris X Graphics,13.3,3840 x 2400,10,12,69,143990,False,True
hp envy 16-h0026tx laptop,hewlett packard,12th gen core i9,32,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,3840 x 2160,14,20,78,219900,False,True
hp envy 16-h0025tx laptop,hewlett packard,12th gen core i9,16,1000,1000,Windows,6 GB NVIDIA GeForce RTX 3060,16.0,3840 x 2160,14,20,76,192490,False,True
lenovo legion 5 pro 82rg00ekin laptop,lenovo,amd ryzen 7 6800h,32,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070,16.0,2560 x 1600,8,16,82,189990,False,True
lenovo yoga slim 7 pro 82sv0053in laptop,lenovo,12th gen core i7,16,512,1000,Windows,Intel Iris Xe Graphics,14.0,2880 x 1800,12,16,63,109969,False,True
asus vivobook 14 x415ja-bv322ws laptop,asus,10th gen core i3,8,512,564,Windows,Intel UHD Graphics,14.0,1920 x 1080,2,4,57,33990,False,True
lenovo yoga 6 82ud0068in 2-in-1 laptop,lenovo,ryzen 7 5700u,16,512,1000,Windows,AMD Radeon,13.3,1920 x 1080,8,16,63,80030,False,True
hp chromebook 14a-na1004tu laptop,hewlett packard,celeron n4500,4,256,64,Chrome,Intel Integrated UHD Graphics,14.0,1366 x 768,2,2,44,21990,False,True
lenovo v14 g2-itl 82kaa025ih laptop,lenovo,11th gen core i3,8,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,2,4,57,51500,False,True
hp envy x360 13-bf0063tu laptop,hewlett packard,12th gen core i7,16,1000,1000,Windows,Intel Iris X Graphics,13.3,2880 x 1800,10,12,71,109990,False,True
gigabyte aero 5 xe4 oled laptop,gigabyte,12th gen core i7,16,1000,1000,Windows,8 GB NVIDIA GeForce RTX 3070Ti,15.6,1920 x 1080,14,20,81,185490,False,True
lenovo v14-iil 82c4019yih laptop,lenovo,10th gen core i5,4,256,564,Windows,Intel Integrated UHD,14.0,1366 x 768,4,8,47,48000,False,True
asus vivobook 14 2022 x1402za-ek521ws laptop,asus,12th gen core i5,8,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,10,12,63,53990,False,True
asus vivobook 14 2022 x1402za-mw512ws laptop,asus,12th gen core i5,16,512,1000,Windows,Intel Integrated Iris Xe,14.0,1920 x 1080,12,16,67,66990,False,True
asus vivobook 14 2022 x1402za-mw311ws laptop,asus,12th gen core i3,8,512,1000,Windows,Intel Integrated UHD,14.0,1920 x 1080,10,12,63,45990,False,True
lenovo thinkpad e14 gen 2 20tbs4k300 laptop,lenovo,11th gen core i5,8,512,1000,DOS,Intel UHD,14.1,1920 x 1080,4,8,56,71449,False,True
lenovo e41-55 ‎82c700fnge laptop,lenovo,athlon pro 3045b,4,256,1000,Windows,AMD Radeon Graphics,15.6,1920 x 1080,2,2,42,21999,False,True
dell latitude 3420 laptop,dell,11th gen core i5,16,512,1000,Windows,Intel UHD Graphics,14.0,1366 x 768,4,8,65,75800,False,True
